1.004: [GC1.004: [DefNew: 447K->63K(448K), 0.0004450 secs] 15498K->15209K(1048512K), 0.0004910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.012: [GC1.012: [DefNew: 447K->63K(448K), 0.0006440 secs] 15593K->15320K(1048512K), 0.0006970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.023: [GC1.023: [DefNew: 447K->64K(448K), 0.0004840 secs] 15704K->15418K(1048512K), 0.0005200 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.032: [GC1.032: [DefNew: 447K->64K(448K), 0.0005110 secs] 15801K->15508K(1048512K), 0.0005460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.044: [GC1.044: [DefNew: 448K->63K(448K), 0.0021320 secs] 15892K->15738K(1048512K), 0.0023130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.055: [GC1.055: [DefNew: 447K->63K(448K), 0.0006360 secs] 16122K->15830K(1048512K), 0.0006950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.065: [GC1.065: [DefNew: 447K->63K(448K), 0.0005420 secs] 16214K->15958K(1048512K), 0.0006000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.073: [GC1.073: [DefNew: 447K->63K(448K), 0.0004610 secs] 16342K->16068K(1048512K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.083: [GC1.083: [DefNew: 447K->64K(448K), 0.0004560 secs] 16452K->16170K(1048512K), 0.0004960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.092: [GC1.092: [DefNew: 448K->64K(448K), 0.0006300 secs] 16554K->16279K(1048512K), 0.0006800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.102: [GC1.102: [DefNew: 448K->63K(448K), 0.0006840 secs] 16663K->16379K(1048512K), 0.0007490 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.112: [GC1.112: [DefNew: 447K->64K(448K), 0.0006780 secs] 16763K->16489K(1048512K), 0.0007430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.122: [GC1.122: [DefNew: 448K->64K(448K), 0.0005080 secs] 16873K->16602K(1048512K), 0.0005480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.132: [GC1.132: [DefNew: 448K->63K(448K), 0.0004910 secs] 16986K->16701K(1048512K), 0.0005430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.140: [GC1.140: [DefNew: 447K->63K(448K), 0.0004380 secs] 17085K->16786K(1048512K), 0.0004790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.150: [GC1.150: [DefNew: 447K->63K(448K), 0.0006870 secs] 17170K->16956K(1048512K), 0.0007430 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.162: [GC1.162: [DefNew: 447K->63K(448K), 0.0023270 secs] 17340K->17173K(1048512K), 0.0025570 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
1.175: [GC1.175: [DefNew: 447K->63K(448K), 0.0022260 secs] 17557K->17435K(1048512K), 0.0023910 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.190: [GC1.190: [DefNew: 447K->63K(448K), 0.0293220 secs] 17819K->17674K(1048512K), 0.0294040 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
1.228: [GC1.228: [DefNew: 447K->64K(448K), 0.0050510 secs] 18058K->17816K(1048512K), 0.0051590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.248: [GC1.248: [DefNew: 448K->63K(448K), 0.0191840 secs] 18200K->17978K(1048512K), 0.0193150 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
